dish,tier,restaurant,city,state,item_name,price_rm_original,source,collected
nasi_lemak,biasa,Nasi Lemak Kanda,Kuala Lumpur,Kuala Lumpur,Nasi Lemak Biasa,3.90,foodpanda.my/restaurant/svf8,2026-08-11
nasi_lemak,ayam,Nasi Lemak Kanda,Kuala Lumpur,Kuala Lumpur,Nasi Lemak Ayam Berempah,11.50,foodpanda.my/restaurant/svf8,2026-08-11
nasi_lemak,ayam,Nasi Lemak Buluh,Kuala Lumpur,Kuala Lumpur,Set B Ayam Goreng,17.50,foodpanda.my/restaurant/dkbi,2026-08-11
nasi_lemak,other,Nasi Lemak Buluh,Kuala Lumpur,Kuala Lumpur,Set E Sambal Telur,11.50,foodpanda.my/restaurant/dkbi,2026-08-11
ayam_gepuk,set,Restoran Ayam Gepuk Pak Gendut,Kuala Lumpur,Kuala Lumpur,Set A Jogja Original,20.00,foodpanda.my/restaurant/cyud,2026-08-11
nasi_lemak,ayam,Nasi Lemak Ayam Dara,Shah Alam,Selangor,Nasi Lemak Ayam Crispy,12.90,foodpanda.my/restaurant/yvia,2026-08-11
nasi_lemak,ayam,Nasi Lemak Pak Ayub,Shah Alam,Selangor,Nasi Lemak + Ayam Goreng,11.90,foodpanda.my/restaurant/v0wx,2026-08-11
nasi_lemak,ayam,Ali Nasi Lemak (PJ),Petaling Jaya,Selangor,Nasi Lemak Ayam Goreng,15.87,foodpanda.my/restaurant/gahm,2026-08-11
nasi_lemak,ayam,Ai Nasi Lemak Ayam Berempah,Petaling Jaya,Selangor,Nasi Lemak Ayam Berempah,11.50,foodpanda.my/restaurant/n4qr,2026-08-11
nasi_lemak,ayam,YK Lemak (Paramount),Petaling Jaya,Selangor,Curry Chicken Nasi Lemak,16.90,foodpanda.my/restaurant/vmr8,2026-08-11
nasi_lemak,ayam,Nasi Lemak Ali (Seksyen 17),Shah Alam,Selangor,Nasi Lemak Ayam Goreng,17.00,foodpanda.my/restaurant/le4m,2026-08-11
